county_code,total_sample_hh,avg_water_travel_time_mins,pct_informal_labour,avg_overcrowding_rate,avg_dwelling_quality_index,pct_adequate_dwelling,mean_predicted_burden,pct_top_decile_vulnerable,financial_stability_score,theta_CCR,theta_BCC,scale_efficiency,rts_category,slack_water_mins,slack_overcrowding,HAD,unit_cost_ksh,score_per_unit,allocated_units_mode_b,project_activated_mode_b,total_expenditure_mode_b_ksh
28,425,-0.2191367321513279,0.2429667519181585,0.9923273657289002,0.1184888554101438,0.6240409207161125,0.1124399939668175,0.10485933503836317,0.8875600060331825,0.79462944,0.89214865,0.8906917473898549,VRS (Scale-inefficient),0.0,0.0,0.3759590792838875,3291507.361702128,0.6578009260125322,100.0,True,329150736.1702128
29,355,-0.2957832990156713,0.238095238095238,1.2285714285714286,-0.0795274492905137,0.4928571428571429,0.3043865294330083,0.1761904761904762,0.6956134705669916,0.82460292,1.0,0.82460292,VRS (Scale-inefficient),0.0,0.0,0.5071428571428571,3291493.111702128,0.5384455218529007,100.0,True,329149311.1702128
30,1059,0.2711954854498749,0.0732984293193717,1.0523560209424083,0.2389269809769882,0.7303664921465969,0.1558592830682066,0.0968586387434555,0.8441407169317934,1.0,1.0,1.0,CRS (Constant Returns),0.0,0.0,0.2696335078534031,3291864.361702128,0.9129029948445055,960.0,True,3160189787.2340426
31,686,-0.0937230509710337,0.3280898876404494,1.3595505617977528,-0.1070616966175538,0.503370786516854,0.06127018140589569,0.14382022471910114,0.9387298185941043,0.78532023,0.84587045,0.9284166742082075,VRS (Scale-inefficient),0.0,0.0,0.496629213483146,3291489.361702128,0.5996974117422961,100.0,True,329148936.1702128
32,420,-0.0921245861576168,0.1399416909620991,1.141399416909621,-0.0226260907770151,0.5510204081632653,0.05989532397232397,0.1282798833819242,0.940104676027676,0.83282396,0.8479365,0.9821772738878443,VRS (Scale-inefficient),0.0,0.0,0.4489795918367347,3291489.361702128,0.6776367511896757,100.0,True,329148936.1702128
33,479,0.0594978983536578,0.1732776617954071,1.1941544885177453,0.2374803975234418,0.6868475991649269,0.05424075620505683,0.08559498956158663,0.9457592437949431,0.75816635,0.78985969,0.9598747215470637,VRS (Scale-inefficient),0.0,0.0,0.3131524008350731,3291493.111702128,0.5415429473828619,100.0,True,329149311.1702128
34,439,0.4386202407398312,0.1435523114355231,1.1289537712895377,0.1124126696304794,0.6593673965936739,0.11871162120592645,0.012165450121654502,0.8812883787940735,0.55086903,0.78114229,0.7052095847992047,VRS (Scale-inefficient),0.0,0.0,0.340632603406326,3291493.111702128,0.33554723262547126,100.0,True,329149311.1702128
35,382,-0.2144322990097331,0.1585365853658536,1.3780487804878048,0.2621397835587092,0.7365853658536585,0.052664136125654445,0.06097560975609756,0.9473358638743455,0.96120403,0.96695703,0.9940504078035401,VRS (Scale-inefficient),0.0,0.0,0.2634146341463415,3293129.7617021278,0.8318459650166867,100.0,True,329312976.17021275
36,434,0.0219459311076252,0.1421800947867298,1.2345971563981042,0.1484717479007639,0.6753554502369669,0.06195384280593958,0.1018957345971564,0.9380461571940604,1.0,1.0,1.0,CRS (Constant Returns),0.0,0.0,0.3246445497630331,3291493.111702128,0.7870167181403842,112.0,True,368647228.5106383
37,478,-0.1367718742202588,0.025,1.1375,-0.2681483711944301,0.44375,0.16184751278475126,0.13541666666666666,0.8381524872152487,0.85624483,0.88363255,0.9690055328993935,VRS (Scale-inefficient),0.0,0.0,0.55625,3291493.111702128,0.7327439201138091,100.0,True,329149311.1702128
