county_name,rho_sbm_bc,rho_sbm_ci_low,rho_sbm_ci_high,theta_ccr,theta_bcc,scale_efficiency,policy_quadrant,cap_index,umax_units,units_A,binding_A,units_B,binding_B,units_C,capacity_uplift_flag,active_A,active_B,active_C,cost_A_ksh,cost_B_ksh,cost_C_ksh,mean_hfvs,mean_hcb,allocation_pct,priority_score,vulnerable_population_2026,pop_2026_est
Kakamega,0.8332030708190785,0.0013105003517994156,0.4324421247805948,0.82327794,0.83984122,0.9802780816116645,"Priority (High Vuln, Low Eff)",0.5101063829787233,232,232.0,Capacity,232.0,Capacity,348.0,True,True,True,True,764939231.9148936,764939231.9148936,1147408847.8723404,0.12641085968844284,0.09338363425925926,3.8729267853314995,0.8020852224760988,1708654.0673435766,2186825
Kericho,0.8756055884954024,8.500705399825561e-08,0.14642417019867526,0.63983089,0.71161952,0.8991193636734418,"Improve (Low Vuln, Low Eff)",0.3531914893617021,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.10053518209558616,0.07874998957681885,0.0,0.6211354674438161,476739.66878029,1055928
Kiambu,1.0,0.002371296694670007,0.19717058247593847,1.0,1.0,1.0,"Maintain (Low Vuln, High Eff)",0.7627659574468085,200,200.0,Capacity,200.0,Capacity,300.0,True,True,True,True,658297872.3404256,658297872.3404256,987446808.5106384,-0.08809579393276237,0.14565336977199045,3.332996081442493,0.6817411863671665,1329360.570225179,2831025
Kilifi,0.8181719766172306,0.0036298972198070085,0.19450639335609124,0.6787647,0.76926551,0.882354260234545,"Improve (Low Vuln, Low Eff)",0.5287234042553192,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298622.3404256,329149311.1702128,0.0,-0.09473909535559052,0.07373232502264761,3.3329998787311763,0.6032165405835807,782909.5042997724,1702299
Kirinyaga,1.0,0.004641522281658774,0.14657707833266148,0.97264703,1.0,0.97264703,"Maintain (Low Vuln, High Eff)",0.39095744680851063,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658297872.3404256,329148936.1702128,0.0,-0.03344861223506404,0.047923209876543214,3.332996081442493,0.7293968591359682,392396.7534195482,714755
Kisii,0.47257501811549263,0.0032097322960849646,0.23295013874999956,0.91021097,1.0,0.91021097,"Improve (Low Vuln, Low Eff)",0.39095744680851063,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.10144112962006309,0.018646296296296296,0.0,0.45913303662753574,667793.3476596739,1483418
Kisumu,1.0,0.005206784932629884,0.14746752877431088,0.89297886,0.90770851,0.9837727091486672,"Maintain (Low Vuln, High Eff)",0.5101063829787233,232,232.0,Capacity,100.0,National quota,348.0,True,True,True,True,763626401.9148936,329149311.1702128,1145439602.8723404,-0.08387579428884802,0.034785146985550575,3.8662798593281638,0.6854212832334119,643676.8452244645,1353109
Kitui,0.5081737580319872,1.1616884732228591e-07,0.15576753568991772,0.75095552,0.91305537,0.8224643813222411,"Priority (High Vuln, Low Eff)",0.31276595744680846,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329148936.1702128,0.0,0.055375853168760814,0.15991811876314493,0.0,0.6101265126230591,902143.4698459654,1330408
Kwale,0.8894595090627435,0.002308732961189776,0.13277342827911795,0.83457423,0.83973853,0.9938501095096827,"Expand (High Vuln, High Eff)",0.39095744680851063,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298622.3404256,329149311.1702128,0.0,-0.025200943760602466,0.07932145924536169,3.3329998787311763,0.6923730880869654,569394.1427693946,1014995
Laikipia,0.9626750889083914,0.0004706662278744238,0.11292186605075635,0.73581589,0.74495683,0.9877295708531191,"Expand (High Vuln, High Eff)",0.6457446808510638,261,261.0,Capacity,100.0,National quota,0.0,True,True,True,False,859079702.1542554,329149311.1702128,0.0,0.1155324308505058,0.10054860366849132,4.349564841744185,0.8443874285968377,464831.5134460619,607203
