household_unique_key,county_code,county_name,HFVS,HFVS_tier,d1_score,d2_score,d3_score,d4_score,d5_score,housing_cost_burden,is_urban_household,is_female_headed_hh,dwelling_tenure_type_code,hcb_predicted_hurdle,in_test_split,rho_sbm_bc,rho_sbm_ci_low,rho_sbm_ci_high,theta_ccr,theta_bcc,scale_efficiency,policy_quadrant,cap_index,umax_units,units_A,binding_A,units_B,binding_B,units_C,capacity_uplift_flag,active_A,active_B,active_C,cost_A_ksh,cost_B_ksh,cost_C_ksh,mean_hfvs,mean_hcb,allocation_pct,priority_score,vulnerable_population_2026,pop_2026_est
00-05-88-48,31.0,Laikipia,0.1314353880424362,High,-0.2503505514848045,0.20346812709641843,0.09268227079922692,0.4582405473511428,0.2629677775334675,0.0,0.0,1.0,1.0,0.0,False,0.9626750889083914,0.0004706662278744238,0.11292186605075635,0.73581589,0.74495683,0.9877295708531191,"Expand (High Vuln, High Eff)",0.6457446808510638,261,261.0,Capacity,100.0,National quota,0.0,True,True,True,False,859079702.1542554,329149311.1702128,0.0,0.1155324308505058,0.10054860366849132,4.349564841744185,0.8443874285968377,464831.5134460619,607203
00-06-73-04,29.0,Nandi,-0.11276212731147386,Moderate,-0.7311342980674084,0.20346812709641843,-0.39568912579723997,-0.7281093866185416,1.7467032920828651,0.008888888888888889,0.0,0.0,1.0,0.008888888888888889,False,1.0,0.009867022836593055,0.13154896596825794,0.83282396,0.8479365,0.9821772738878443,"Expand (High Vuln, High Eff)",0.4351063829787234,200,200.0,Capacity,100.0,National quota,300.0,True,True,True,True,658297872.3404256,329148936.1702128,987446808.5106384,0.07776938860955382,0.05989532397232397,3.332996081442493,0.8263857337603051,737018.4004480313,1037115
00-07-10-34,33.0,Narok,-0.4275096100310933,Moderate,-0.7311342980674084,-1.1334803140094243,-0.39568912579723997,0.6573482285768244,0.8098574703962264,0.022222222222222223,0.0,1.0,1.0,0.022222222222222223,False,0.870363442164275,0.005218322684626933,0.13812013991966862,0.75816635,0.78985969,0.9598747215470637,"Priority (High Vuln, Low Eff)",0.33723404255319145,200,200.0,Capacity,100.0,National quota,232.0,True,True,True,True,658298622.3404256,329149311.1702128,763626401.9148936,-0.0021165006739281636,0.05424075620505683,3.3329998787311763,0.7048656948812442,806069.7236506658,1355801
00-09-04-08,23.0,Turkana,-0.27577548363460314,Moderate,-1.2119180446500124,0.20346812709641843,-0.15150342749900653,-0.7330870786491833,0.962035471888473,0.005,0.0,1.0,1.0,0.005,False,0.7970793769136322,0.0028272425487946163,0.23750004561852686,0.98321648,1.0,0.98321648,"Improve (Low Vuln, Low Eff)",0.5404255319148936,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.11218753464394778,0.061713814567075434,0.0,0.5795633898565167,471678.45674672537,1085434
00-10-98-29,47.0,Nairobi,0.3940952504572831,High,1.1920006882630074,0.5377052373728798,1.2322155295243165,-0.7314278479723029,-1.1090120171700617,0.013333333333333334,1.0,0.0,2.0,0.013333333333333334,False,1.0,0.002598590786641519,0.09335696623787357,1.0,1.0,1.0,"Expand (High Vuln, High Eff)",0.8382978723404255,490,490.0,Capacity,490.0,Capacity,735.0,True,True,True,True,1613013537.2340426,1613013537.2340426,2419520305.851064,0.1769794975380904,0.1558592830682066,8.16677073526159,0.9129029948445055,4401317.195491398,5148713
00-11-08-43,22.0,Kiambu,-0.7849108845177895,Low,-0.7311342980674084,-1.1334803140094243,0.1740775035653047,-0.5953709324680871,-1.2707011437555735,0.015,1.0,0.0,1.0,0.015,False,1.0,0.002371296694670007,0.19717058247593847,1.0,1.0,1.0,"Maintain (Low Vuln, High Eff)",0.7627659574468085,200,200.0,Capacity,200.0,Capacity,300.0,True,True,True,True,658297872.3404256,658297872.3404256,987446808.5106384,-0.08809579393276237,0.14565336977199045,3.332996081442493,0.6817411863671665,1329360.570225179,2831025
00-11-65-96,23.0,Turkana,0.09877778080585436,High,-0.2503505514848045,0.20346812709641843,1.8019821588868616,-0.9189209144598192,0.19638990188061017,0.008888888888888889,0.0,1.0,1.0,0.008888888888888889,False,0.7970793769136322,0.0028272425487946163,0.23750004561852686,0.98321648,1.0,0.98321648,"Improve (Low Vuln, Low Eff)",0.5404255319148936,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.11218753464394778,0.061713814567075434,0.0,0.5795633898565167,471678.45674672537,1085434
00-13-00-85,44.0,Migori,0.42436579149083165,High,-0.2503505514848045,0.20346812709641843,1.3950059950564724,0.8066789894960849,0.8907020336889824,0.01,0.0,0.0,1.0,0.01,False,1.0,0.0034135908612093883,0.07209281474034286,1.0,1.0,1.0,"Expand (High Vuln, High Eff)",0.524468085106383,202,202.0,Capacity,100.0,National quota,303.0,True,True,True,True,664965660.7638298,329190921.1702128,997448491.1457448,0.07517413918684547,0.06657843948166528,3.366755438142344,0.8241225181030698,924078.8493138319,1307281
00-13-03-06,37.0,Kakamega,0.5247526601666331,Critical,1.6727844348456111,0.5377052373728798,-0.07010819473292876,-0.7330870786491833,0.738524032196735,0.009,1.0,0.0,2.0,0.009,False,0.8332030708190785,0.0013105003517994156,0.4324421247805948,0.82327794,0.83984122,0.9802780816116645,"Priority (High Vuln, Low Eff)",0.5101063829787233,232,232.0,Capacity,232.0,Capacity,348.0,True,True,True,True,764939231.9148936,764939231.9148936,1147408847.8723404,0.12641085968844284,0.09338363425925926,3.8729267853314995,0.8020852224760988,1708654.0673435766,2186825
00-13-57-64,45.0,Kisii,-0.3214698366030679,Moderate,-1.2119180446500124,0.20346812709641843,-0.39568912579723997,-0.7330870786491833,0.8193685954894917,0.0,0.0,0.0,1.0,0.0,False,0.47257501811549263,0.0032097322960849646,0.23295013874999956,0.91021097,1.0,0.91021097,"Improve (Low Vuln, Low Eff)",0.39095744680851063,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.10144112962006309,0.018646296296296296,0.0,0.45913303662753574,667793.3476596739,1483418
00-13-74-26,19.0,Nyeri,-0.246522147562856,Moderate,0.23043319509779941,-1.1334803140094243,0.9066345984600052,0.22014094521876557,-0.6049223872269976,0.0,0.0,0.0,1.0,0.0,False,1.0,0.006785678224538476,0.40620369491175456,1.0,1.0,1.0,"Expand (High Vuln, High Eff)",0.5074468085106383,229,229.0,Capacity,100.0,National quota,344.0,True,True,True,True,753751922.5797873,329149311.1702128,1132273630.4255319,0.032624589998090835,0.06195384280593958,3.8162848611471962,0.7870167181403842,573388.4889280677,888936
00-13-93-36,37.0,Kakamega,0.20190411398551156,High,1.1920006882630074,0.8719423476493402,-1.372431918990174,-0.7695901535405584,-0.7713670763591414,0.0011111111111111111,1.0,0.0,3.0,0.0011111111111111111,False,0.8332030708190785,0.0013105003517994156,0.4324421247805948,0.82327794,0.83984122,0.9802780816116645,"Priority (High Vuln, Low Eff)",0.5101063829787233,232,232.0,Capacity,232.0,Capacity,348.0,True,True,True,True,764939231.9148936,764939231.9148936,1147408847.8723404,0.12641085968844284,0.09338363425925926,3.8729267853314995,0.8020852224760988,1708654.0673435766,2186825
00-14-95-25,36.0,Bomet,-0.34885937814682916,Moderate,0.7112169416804034,-0.7992432037329633,-1.1282462206919404,-0.4891801691477244,-0.058032694364238205,0.0013333333333333333,1.0,1.0,2.0,0.0013333333333333333,False,0.9263140148084311,0.0018982696882139723,0.14989871422498705,0.79103368,0.7986042,0.9905203103114159,"Maintain (Low Vuln, High Eff)",0.4329787234042553,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298622.3404256,329149311.1702128,0.0,-0.07464230091703836,0.03344241908696885,3.3329998787311763,0.6639990286134878,501536.34730079153,1025380
