county_name,cap_index,umax_units,units_A,binding_A,units_B,binding_B,units_C,capacity_uplift_flag,rho_sbm_bc,rho_sbm_ci_low,rho_sbm_ci_high,theta_ccr,mean_hfvs
Marsabit,0.22340425531914893,200,0.0,Not activated,100.0,National quota,0.0,False,0.3420677913285144,0.01807291588046088,1.0,0.61869018,-0.29552921677560423
Meru,0.43936170212765957,200,200.0,Capacity,100.0,National quota,300.0,True,0.9865643454574158,0.003097097716748898,0.1160831318063007,0.7472229,-0.12865591656817432
Migori,0.524468085106383,202,202.0,Capacity,100.0,National quota,303.0,True,1.0,0.0034135908612093883,0.07209281474034286,1.0,0.07517413918684547
Mombasa,0.9095744680851063,553,553.0,Capacity,508.0,National quota,830.0,True,1.0,0.003387972623435715,0.1286892099974925,0.79462944,0.09399381198631673
Murang'a,0.6414893617021276,328,0.0,Not activated,100.0,National quota,0.0,False,1e-06,0.9999848401925387,1.0,0.82460292,-0.07345439739072315
Nairobi,0.8382978723404255,490,490.0,Capacity,490.0,Capacity,735.0,True,1.0,0.002598590786641519,0.09335696623787357,1.0,0.1769794975380904
Nakuru,0.5563829787234041,265,265.0,Capacity,265.0,Capacity,398.0,True,0.995519358727289,0.006301654491686836,0.11917647759172383,0.78532023,0.03686429971357667
Nandi,0.4351063829787234,200,200.0,Capacity,100.0,National quota,300.0,True,1.0,0.009867022836593055,0.13154896596825794,0.83282396,0.07776938860955382
Narok,0.33723404255319145,200,200.0,Capacity,100.0,National quota,232.0,True,0.870363442164275,0.005218322684626933,0.13812013991966862,0.75816635,-0.0021165006739281636
Nyamira,0.35744680851063826,200,0.0,Not activated,100.0,National quota,0.0,False,0.34650287995774187,0.013579799902952591,0.3167674515482774,0.55086903,-0.026825598454177854
Nyandarua,0.502127659574468,227,227.0,Capacity,100.0,National quota,340.0,True,1.0,0.00697680791135282,0.12550523759074217,0.96120403,0.1236146906087834
Nyeri,0.5074468085106383,229,229.0,Capacity,100.0,National quota,344.0,True,1.0,0.006785678224538476,0.40620369491175456,1.0,0.032624589998090835
Samburu,0.2606382978723404,200,0.0,Not activated,100.0,National quota,0.0,False,0.49700408075120983,0.006223811350638621,0.21743495283374586,0.85624483,0.11706466448038158
Siaya,0.3276595744680851,200,200.0,Capacity,100.0,National quota,300.0,True,1.0,1.4556007855037893e-07,0.21586710680753915,0.93263841,0.15895926392298795
Taita-Taveta,0.21595744680851064,200,0.0,Not activated,100.0,National quota,0.0,False,0.7630111139099194,7.11401922620076e-08,0.10662040543752431,0.70908828,0.27685440412368356
Tana River,0.39095744680851063,200,0.0,Not activated,100.0,National quota,0.0,False,0.7659532674715473,0.004362546001970811,0.18709570770950407,0.75751308,-0.027469327706829277
Tharaka-Nithi,0.36489361702127654,200,200.0,Capacity,100.0,National quota,0.0,True,1.0,0.0025024004306928417,0.06227063443108208,1.0,-0.10061219546513146
Trans Nzoia,0.33085106382978724,200,200.0,Capacity,100.0,National quota,300.0,True,0.9609406909418906,0.007826642303146862,0.17353639751540217,0.83844949,0.05559630214781931
Turkana,0.5404255319148936,200,0.0,Not activated,100.0,National quota,0.0,False,0.7970793769136322,0.0028272425487946163,0.23750004561852686,0.98321648,-0.11218753464394778
Uasin Gishu,0.47553191489361696,209,209.0,Capacity,100.0,National quota,314.0,True,1.0,0.006035390150363782,0.17550482702865838,0.82699504,0.0764234975594234
Vihiga,0.3712765957446808,200,195.0,National quota,100.0,National quota,0.0,False,0.8814102234261105,0.0026430229157509847,0.2481669392437785,0.75410204,0.10864880196715894
Wajir,0.1595744680851064,200,0.0,Not activated,100.0,National quota,0.0,False,1.0,0.015389390782221929,1.0,1.0,-0.41117090563721875
West Pokot,0.275531914893617,200,0.0,Not activated,100.0,National quota,0.0,False,1e-06,0.9999726363733925,1.0,0.55044791,-0.12347040157551482
